"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","COUNTRY_CODE","LAUNCH_DATE"
14.345217,0.0118573,86.3731,28.5608,119.0495,242.2641,7154.793,100.382,861.495,691.822,"DEBRIS","SMALL","US",1997
14.03924013,0.0039275,99.1657,280.4083,67.6003,57.7087,7258.376,102.57,908.748,851.733,"DEBRIS","SMALL","US",1978
13.88079071,0.0272763,73.8882,89.8992,15.0255,40.536,7313.507,103.74,1134.858,735.887,"DEBRIS","SMALL","CIS",1993
13.98515678,0.0067505,98.8223,335.172,100.4122,260.4659,7277.077,102.966,948.066,849.818,"DEBRIS","SMALL","PRC",1999
15.1335008,7.49e-05,97.4793,15.8676,121.875,238.2555,6904.129,95.153,526.511,525.477,"PAYLOAD","SMALL","US",2020
15.16000827,0.0013472,97.4781,4.1631,356.326,3.7871,6896.079,94.987,527.234,508.653,"PAYLOAD","SMALL","US",2021
15.22273862,0.0039742,60.6858,140.5409,116.3251,244.1926,6877.121,94.595,526.317,471.655,"PAYLOAD","SMALL","US",2021
14.79704709,0.0034721,86.356,246.4771,243.994,115.7704,7008.393,97.317,654.592,605.925,"DEBRIS","SMALL","US",1997
14.15243437,0.0029747,98.7485,359.6062,100.1002,260.353,7219.621,101.749,862.962,820.01,"DEBRIS","SMALL","PRC",1999
13.42222741,0.0445234,73.9684,262.8638,168.0876,193.1192,7479.148,107.285,1434.01,768.016,"DEBRIS","SMALL","CIS",1993
14.07557739,0.0076316,99.1994,315.2428,350.6965,9.2785,7245.878,102.305,923.041,812.446,"DEBRIS","SMALL","PRC",1999
15.3349881,0.0016274,97.3809,23.6595,140.9912,219.2507,6843.52,93.903,476.522,454.248,"PAYLOAD","SMALL","US",2018
14.15008974,0.0021288,98.6801,350.7826,152.4212,207.8096,7220.419,101.766,857.654,826.913,"DEBRIS","SMALL","US",2000
15.14170575,0.0020501,97.6055,269.2736,196.8877,163.1675,6901.635,95.102,537.649,509.351,"PAYLOAD","SMALL","GER",2019
14.70698753,0.0110474,99.0596,108.3619,166.5804,206.6752,7036.975,97.913,736.581,581.1,"DEBRIS","SMALL","PRC",1999
11.9113766,0.1080717,51.2489,51.7947,31.6658,334.4799,8098.922,120.893,2596.051,845.523,"DEBRIS","SMALL","CIS",2011
14.34120681,0.0042978,74.0362,194.8043,278.1477,81.48,7156.127,100.41,808.748,747.236,"DEBRIS","SMALL","CIS",1993
5.86855505,0.4781756,51.7547,276.3453,100.7809,314.6872,12983.179,245.376,12813.284,396.805,"DEBRIS","SMALL","CIS",2006
12.99691505,0.0033848,90.2717,326.0527,21.6202,338.6341,7641.436,110.796,1289.166,1237.436,"DEBRIS","SMALL","US",1965
14.0206528,0.0080674,99.2183,341.5262,98.8856,316.1177,7264.789,102.706,945.262,828.046,"DEBRIS","SMALL","PRC",1999
14.75283061,0.0208842,64.7775,62.3489,269.346,88.3713,7022.39,97.608,790.912,497.598,"PAYLOAD","SMALL","US",2015
14.13909402,0.0019208,82.5236,162.581,61.3813,298.9293,7224.162,101.845,859.903,832.15,"DEBRIS","SMALL","CIS",1982
14.61697801,0.0073148,74.0033,185.7731,356.3538,3.7084,7065.834,98.516,739.384,636.014,"DEBRIS","SMALL","CIS",1993
14.67108542,0.0049883,98.8716,142.6323,168.911,191.3204,7048.451,98.152,705.476,635.156,"DEBRIS","SMALL","US",1991
14.97277503,0.004107,74.0478,312.0028,12.2188,161.994,6953.45,96.175,603.872,546.757,"DEBRIS","SMALL","CIS",1993
14.0132253,0.0149289,99.4026,90.3873,246.4516,233.7095,7267.356,102.76,997.715,780.727,"DEBRIS","SMALL","PRC",1999
14.1836119,0.0059211,98.6748,332.5886,300.5557,58.9784,7209.037,101.526,873.588,788.217,"DEBRIS","SMALL","PRC",1999
14.27276268,0.0049167,99.0393,97.0868,8.4821,351.7179,7178.987,100.891,836.149,765.555,"DEBRIS","SMALL","US",2000
13.01380849,0.0078942,82.5536,265.0041,182.3264,177.7494,7634.822,110.652,1316.958,1196.416,"DEBRIS","SMALL","CIS",1991
14.90213821,0.0186395,97.4307,213.258,184.8243,175.1187,6975.405,96.63,727.288,467.252,"DEBRIS","SMALL","CIS",1983
14.23423172,0.0102815,73.856,288.991,176.2705,183.9231,7191.936,101.165,887.745,739.857,"DEBRIS","SMALL","CIS",1993
14.36491988,0.0055742,74.0699,211.3956,244.8947,114.6416,7148.25,100.244,809.96,730.269,"DEBRIS","SMALL","CIS",1993
15.33377066,0.0013547,97.2144,8.8566,10.4993,349.653,6843.882,93.91,475.019,456.476,"DEBRIS","SMALL","PRC",2017
14.83251927,0.0004052,97.931,354.0714,244.704,115.3754,6997.215,97.084,621.915,616.245,"DEBRIS","SMALL","CIS",1994
14.65099027,0.0047911,74.0252,52.9586,75.2104,285.4365,7054.894,98.287,710.56,642.959,"DEBRIS","SMALL","CIS",1993
11.66280898,0.0822278,51.617,132.4441,311.127,42.1324,8213.591,123.469,2510.841,1160.07,"DEBRIS","SMALL","CIS",2011
14.17291049,0.011024,98.6609,326.8245,296.6863,62.3059,7212.666,101.602,914.043,755.018,"DEBRIS","SMALL","PRC",1999
15.08517632,0.0164449,101.7238,299.1235,24.9096,335.9942,6918.866,95.458,654.511,426.951,"PAYLOAD","SMALL","US",2011
15.27271627,0.0007485,97.2968,6.5507,357.464,2.656,6862.11,94.286,489.111,478.838,"PAYLOAD","SMALL","US",2017
13.31292465,0.0399227,98.6465,214.1114,53.2956,310.416,7520.029,108.166,1442.114,841.674,"DEBRIS","SMALL","PRC",1999
13.16819984,0.015923,99.6535,24.0819,180.6971,179.3945,7575.028,109.354,1317.51,1076.276,"DEBRIS","SMALL","US",1975
13.954331,0.0125514,100.9069,214.1557,47.8522,313.3217,7287.79,103.194,1001.127,818.183,"DEBRIS","SMALL","PRC",1999
15.25764438,0.0009529,97.3477,4.2439,205.5795,192.6533,6866.628,94.379,495.036,481.95,"PAYLOAD","SMALL","US",2019
13.66251027,0.0585783,81.5741,184.7772,188.4464,170.6488,7391.198,105.398,1446.027,580.099,"DEBRIS","SMALL","US",1994
14.59663094,0.0184153,98.4948,55.9183,286.2455,132.2635,7072.399,98.653,824.504,564.024,"DEBRIS","SMALL","PRC",1999
13.5117884,0.0125736,100.0251,31.0376,359.2831,0.8105,7446.061,106.574,1161.55,974.303,"DEBRIS","SMALL","US",1970
14.25921782,0.0101452,98.9585,78.6935,133.199,292.752,7183.532,100.987,878.276,732.519,"DEBRIS","SMALL","PRC",1999
14.15497085,0.0011139,82.9456,340.4537,39.7277,320.4716,7218.759,101.731,848.665,832.583,"DEBRIS","SMALL","CIS",1981
14.241403,0.0014847,98.9272,331.1901,268.1351,146.249,7189.522,101.114,822.061,800.712,"DEBRIS","SMALL","PRC",1999
14.19970226,0.0030993,98.7548,22.2649,84.3599,276.111,7203.59,101.411,847.782,803.129,"DEBRIS","SMALL","US",2000
13.59106006,0.0365278,97.9947,70.1871,223.1767,260.8495,7417.08,105.952,1309.874,768.015,"DEBRIS","SMALL","PRC",1999
14.19206127,0.0055121,98.5975,324.8732,278.6307,80.8627,7206.176,101.465,867.762,788.32,"DEBRIS","SMALL","PRC",1999
14.08177317,0.0107208,98.8926,196.0464,18.6344,41.088,7243.753,102.26,943.276,787.959,"DEBRIS","SMALL","PRC",1999
14.21859244,0.0016413,98.7387,319.7238,166.4924,193.6696,7197.209,101.276,830.887,807.261,"DEBRIS","SMALL","US",1995
13.76320629,0.015412,99.1161,239.7109,10.8467,349.5946,7355.103,104.627,1090.325,863.611,"DEBRIS","SMALL","PRC",1990
14.39604426,0.0094608,98.835,91.0916,234.2787,124.9572,7137.943,100.027,827.338,692.277,"DEBRIS","SMALL","US",2000
14.69755803,0.0216105,98.5139,112.6244,316.2998,42.1271,7039.985,97.975,813.987,509.712,"DEBRIS","SMALL","PRC",1999
